"filename", "language", "JSON", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "Markdown", "HTML", "Dotenv", "comment", "blank", "total"
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\.eslintrc.cjs", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\package-lock.json", "JSON", 5410, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5411
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\App.css", "PostCSS", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 1, 3, 21
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Ayuda.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Barrabusqueda.css", "PostCSS", 0, 76, 0, 0, 0, 0, 0, 0, 1, 7, 84
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Cart.css", "PostCSS", 0, 135, 0, 0, 0, 0, 0, 0, 1, 23, 159
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Cart.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 0, 5, 67
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Filters.css", "PostCSS", 0, 84, 0, 0, 0, 0, 0, 0, 3, 13, 100
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Filters.jsx", "JavaScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Footer.css", "PostCSS", 0, 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Header.css", "PostCSS", 0, 80, 0, 0, 0, 0, 0, 0, 0, 9, 89
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Header.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 4, 4, 27
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Icons.jsx", "JavaScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 4, 92
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Login.css", "PostCSS", 0, 118, 0, 0, 0, 0, 0, 0, 1, 16, 135
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Main.css", "PostCSS", 0, 304, 0, 0, 0, 0, 0, 0, 14, 24, 342
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Pdf.jsx", "JavaScript JSX", 0, 0, 0, 123, 0, 0, 0, 0, 11, 19, 153
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Products.css", "PostCSS", 0, 247, 0, 0, 0, 0, 0, 0, 2, 38, 287
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Products.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\Signup.css", "PostCSS", 0, 143, 0, 0, 0, 0, 0, 0, 1, 18, 162
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\XDXDXD.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\component sin implementar\CrudReact.jsx", "JavaScript JSX", 0, 0, 0, 286, 0, 0, 0, 0, 2, 12, 300
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\component sin implementar\GoogleSearch.jsx", "JavaScript JSX", 0, 0, 0, 191, 0, 0, 0, 0, 1, 16, 208
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\component sin implementar\ImageSearch.jsx", "JavaScript JSX", 0, 0, 0, 175, 0, 0, 0, 0, 0, 13, 188
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\Components\component sin implementar\ProductList.jsx", "JavaScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 5, 74
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\api\auth.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\api\axios.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\config.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 8, 18, 130
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\context\cart.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 8, 38
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\context\filters.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\elproyectodemivida.css", "PostCSS", 0, 1387, 0, 0, 0, 0, 0, 0, 58, 176, 1621
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\hoocks\LoginValidation.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\hoocks\Signupvalidate.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\hoocks\useCart.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 7, 16
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\hoocks\useFilters.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\index.css", "PostCSS", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\mocks\products.json", "JSON", 724, 0, 0, 0, 0, 0, 0, 0, 0, 2, 726
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\mocks\products0.json", "JSON", 557, 0, 0, 0, 0, 0, 0, 0, 0, 1, 558
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 4, 12, 92
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\pages\Menuprincipal.jsx", "JavaScript JSX", 0, 0, 0, 287, 0, 0, 0, 0, 3, 9, 299
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\pages\ProductPage.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 1, 3, 24
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 3, 13, 108
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\pages\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\pages\page de los componentes sin integrar\Prueba.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\reducers\cart.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\router.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\router\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 9, 7, 32
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\router\AppRouter.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 18, 5, 42
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\router\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 5, 5, 21
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\supabaseClient.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\src\viewtransition.css", "PostCSS", 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\frontend\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\package-lock.json", "JSON", 2621, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2622
"c:\Users\user\Desktop\investigar\frankenstein\Programa_principalV10 cambios\package.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 9357, 2664, 176, 1865, 2, 5, 23, 2, 153, 589, 14836